country,year,value
Singapore,2012,6442.27614
Singapore,2013,6665.19427
Singapore,2014,6658.49893
Singapore,2015,0
Singapore,2016,0
Singapore,2017,0
Solomon Islands,1960,0
Solomon Islands,1961,0
Solomon Islands,1962,0
Solomon Islands,1963,0
Solomon Islands,1964,0
Solomon Islands,1965,0
Solomon Islands,1966,0
Solomon Islands,1967,0
Solomon Islands,1968,0
Solomon Islands,1969,0
Solomon Islands,1970,0
Solomon Islands,1971,0
Solomon Islands,1972,0
Solomon Islands,1973,0
Solomon Islands,1974,0
Solomon Islands,1975,0
Solomon Islands,1976,0
Solomon Islands,1977,0
Solomon Islands,1978,0
Solomon Islands,1979,0
Solomon Islands,1980,0
Solomon Islands,1981,0
Solomon Islands,1982,0
Solomon Islands,1983,0
Solomon Islands,1984,0
Solomon Islands,1985,0
Solomon Islands,1986,0
Solomon Islands,1987,0
Solomon Islands,1988,0
Solomon Islands,1989,0
Solomon Islands,1990,0
Solomon Islands,1991,0
Solomon Islands,1992,0
Solomon Islands,1993,0
Solomon Islands,1994,0
Solomon Islands,1995,0
Solomon Islands,1996,0
Solomon Islands,1997,0
Solomon Islands,1998,0
Solomon Islands,1999,0
Solomon Islands,2000,0
Solomon Islands,2001,0
Solomon Islands,2002,0
Solomon Islands,2003,0
Solomon Islands,2004,0
Solomon Islands,2005,0
Solomon Islands,2006,0
Solomon Islands,2007,0
Solomon Islands,2008,0
Solomon Islands,2009,0
Solomon Islands,2010,0
Solomon Islands,2011,0
Solomon Islands,2012,0
Solomon Islands,2013,0
Solomon Islands,2014,0
Solomon Islands,2015,0
Solomon Islands,2016,0
Solomon Islands,2017,0
Sierra Leone,1960,0
Sierra Leone,1961,0
Sierra Leone,1962,0
Sierra Leone,1963,0
Sierra Leone,1964,0
Sierra Leone,1965,0
Sierra Leone,1966,0
Sierra Leone,1967,0
Sierra Leone,1968,0
Sierra Leone,1969,0
Sierra Leone,1970,0
Sierra Leone,1971,0
Sierra Leone,1972,0
Sierra Leone,1973,0
Sierra Leone,1974,0
Sierra Leone,1975,0
Sierra Leone,1976,0
Sierra Leone,1977,0
Sierra Leone,1978,0
Sierra Leone,1979,0
Sierra Leone,1980,0
Sierra Leone,1981,0
Sierra Leone,1982,0
Sierra Leone,1983,0
Sierra Leone,1984,0
Sierra Leone,1985,0
Sierra Leone,1986,0
Sierra Leone,1987,0
Sierra Leone,1988,0
Sierra Leone,1989,0
Sierra Leone,1990,0
Sierra Leone,1991,0
Sierra Leone,1992,0
Sierra Leone,1993,0
Sierra Leone,1994,0
Sierra Leone,1995,0
Sierra Leone,1996,0
Sierra Leone,1997,0
Sierra Leone,1998,0
Sierra Leone,1999,0
Sierra Leone,2000,0
Sierra Leone,2001,0
Sierra Leone,2002,0
Sierra Leone,2003,0
Sierra Leone,2004,0
Sierra Leone,2005,0
Sierra Leone,2006,0
Sierra Leone,2007,0
Sierra Leone,2008,0
Sierra Leone,2009,0
Sierra Leone,2010,0
Sierra Leone,2011,0
Sierra Leone,2012,0
Sierra Leone,2013,0
Sierra Leone,2014,0
Sierra Leone,2015,0
Sierra Leone,2016,0
Sierra Leone,2017,0
El Salvador,1960,0
El Salvador,1961,0
El Salvador,1962,0
El Salvador,1963,0
El Salvador,1964,0
El Salvador,1965,0
El Salvador,1966,0
El Salvador,1967,0
El Salvador,1968,0
El Salvador,1969,0
El Salvador,1970,0
El Salvador,1971,0
El Salvador,1972,0
El Salvador,1973,0
El Salvador,1974,0
El Salvador,1975,0
El Salvador,1976,0
El Salvador,1977,0
El Salvador,1978,0
El Salvador,1979,0
El Salvador,1980,0
El Salvador,1981,0
El Salvador,1982,0
El Salvador,1983,0
El Salvador,1984,0
El Salvador,1985,0
El Salvador,1986,0
El Salvador,1987,0
El Salvador,1988,0
El Salvador,1989,0
El Salvador,1990,0
El Salvador,1991,0
El Salvador,1992,0
El Salvador,1993,0
El Salvador,1994,0
El Salvador,1995,0
El Salvador,1996,0
El Salvador,1997,0
El Salvador,1998,0
El Salvador,1999,0
El Salvador,2000,0
El Salvador,2001,0
El Salvador,2002,0
El Salvador,2003,0
El Salvador,2004,0
El Salvador,2005,0
El Salvador,2006,0
El Salvador,2007,0
El Salvador,2008,0
El Salvador,2009,0
El Salvador,2010,0
El Salvador,2011,0
El Salvador,2012,0
El Salvador,2013,0
El Salvador,2014,0
El Salvador,2015,65.28925
El Salvador,2016,0
El Salvador,2017,0
San Marino,1960,0
San Marino,1961,0
San Marino,1962,0
San Marino,1963,0
San Marino,1964,0
San Marino,1965,0
San Marino,1966,0
San Marino,1967,0
San Marino,1968,0
San Marino,1969,0
San Marino,1970,0
San Marino,1971,0
San Marino,1972,0
San Marino,1973,0
San Marino,1974,0
San Marino,1975,0
San Marino,1976,0
San Marino,1977,0
San Marino,1978,0
San Marino,1979,0
San Marino,1980,0
San Marino,1981,0
San Marino,1982,0
San Marino,1983,0
San Marino,1984,0
San Marino,1985,0
San Marino,1986,0
San Marino,1987,0
San Marino,1988,0
San Marino,1989,0
San Marino,1990,0
San Marino,1991,0
San Marino,1992,0
San Marino,1993,0
San Marino,1994,0
San Marino,1995,0
San Marino,1996,0
San Marino,1997,0
San Marino,1998,0
San Marino,1999,0
San Marino,2000,0
San Marino,2001,0
San Marino,2002,0
San Marino,2003,0
San Marino,2004,0
San Marino,2005,0
San Marino,2006,0
San Marino,2007,0
San Marino,2008,0
San Marino,2009,0
San Marino,2010,0
San Marino,2011,0
San Marino,2012,0
San Marino,2013,0
San Marino,2014,0
San Marino,2015,0
San Marino,2016,0
San Marino,2017,0
Somalia,1960,0
Somalia,1961,0
Somalia,1962,0
Somalia,1963,0
Somalia,1964,0
Somalia,1965,0
Somalia,1966,0
Somalia,1967,0
Somalia,1968,0
Somalia,1969,0
Somalia,1970,0
Somalia,1971,0
Somalia,1972,0
Somalia,1973,0
Somalia,1974,0
Somalia,1975,0
Somalia,1976,0
Somalia,1977,0
Somalia,1978,0
Somalia,1979,0
Somalia,1980,0
Somalia,1981,0
Somalia,1982,0
Somalia,1983,0
Somalia,1984,0
Somalia,1985,0
Somalia,1986,0
Somalia,1987,0
Somalia,1988,0
Somalia,1989,0
Somalia,1990,0
Somalia,1991,0
Somalia,1992,0
Somalia,1993,0
Somalia,1994,0
Somalia,1995,0
Somalia,1996,0
Somalia,1997,0
Somalia,1998,0
Somalia,1999,0
Somalia,2000,0
Somalia,2001,0
Somalia,2002,0
Somalia,2003,0
Somalia,2004,0
Somalia,2005,0
Somalia,2006,0
Somalia,2007,0
Somalia,2008,0
Somalia,2009,0
Somalia,2010,0
Somalia,2011,0
Somalia,2012,0
Somalia,2013,0
Somalia,2014,0
Somalia,2015,0
Somalia,2016,0
Somalia,2017,0
Serbia,1960,0
Serbia,1961,0
Serbia,1962,0
Serbia,1963,0
Serbia,1964,0
Serbia,1965,0
Serbia,1966,0
Serbia,1967,0
Serbia,1968,0
Serbia,1969,0
Serbia,1970,0
Serbia,1971,0
Serbia,1972,0
Serbia,1973,0
Serbia,1974,0
Serbia,1975,0
Serbia,1976,0
Serbia,1977,0
Serbia,1978,0
Serbia,1979,0
Serbia,1980,0
Serbia,1981,0
Serbia,1982,0
Serbia,1983,0
Serbia,1984,0
Serbia,1985,0
Serbia,1986,0
Serbia,1987,0
Serbia,1988,0
Serbia,1989,0
Serbia,1990,0
Serbia,1991,0
Serbia,1992,0
Serbia,1993,0
Serbia,1994,0
Serbia,1995,0
Serbia,1996,0
Serbia,1997,0
Serbia,1998,0
Serbia,1999,0
Serbia,2000,0
Serbia,2001,0
Serbia,2002,0
Serbia,2003,0
Serbia,2004,0
Serbia,2005,0
Serbia,2006,0
Serbia,2007,1195.5864
Serbia,2008,1360.36615
Serbia,2009,1429.36933
Serbia,2010,1514.84186
Serbia,2011,1624.00859
Serbia,2012,1643.3742
Serbia,2013,1726.97302
Serbia,2014,1830.99247
Serbia,2015,2071.21672
Serbia,2016,0
Serbia,2017,0
Sub-Saharan Africa (excluding high income),1960,0
Sub-Saharan Africa (excluding high income),1961,0
Sub-Saharan Africa (excluding high income),1962,0
Sub-Saharan Africa (excluding high income),1963,0
Sub-Saharan Africa (excluding high income),1964,0
Sub-Saharan Africa (excluding high income),1965,0
Sub-Saharan Africa (excluding high income),1966,0
Sub-Saharan Africa (excluding high income),1967,0
Sub-Saharan Africa (excluding high income),1968,0
Sub-Saharan Africa (excluding high income),1969,0
Sub-Saharan Africa (excluding high income),1970,0
Sub-Saharan Africa (excluding high income),1971,0
Sub-Saharan Africa (excluding high income),1972,0
Sub-Saharan Africa (excluding high income),1973,0
Sub-Saharan Africa (excluding high income),1974,0
Sub-Saharan Africa (excluding high income),1975,0
Sub-Saharan Africa (excluding high income),1976,0
Sub-Saharan Africa (excluding high income),1977,0
Sub-Saharan Africa (excluding high income),1978,0
Sub-Saharan Africa (excluding high income),1979,0
Sub-Saharan Africa (excluding high income),1980,0
Sub-Saharan Africa (excluding high income),1981,0
Sub-Saharan Africa (excluding high income),1982,0
Sub-Saharan Africa (excluding high income),1983,0
Sub-Saharan Africa (excluding high income),1984,0
Sub-Saharan Africa (excluding high income),1985,0
Sub-Saharan Africa (excluding high income),1986,0
Sub-Saharan Africa (excluding high income),1987,0
Sub-Saharan Africa (excluding high income),1988,0
Sub-Saharan Africa (excluding high income),1989,0
Sub-Saharan Africa (excluding high income),1990,0
Sub-Saharan Africa (excluding high income),1991,0
Sub-Saharan Africa (excluding high income),1992,0
Sub-Saharan Africa (excluding high income),1993,0
Sub-Saharan Africa (excluding high income),1994,0
Sub-Saharan Africa (excluding high income),1995,0
Sub-Saharan Africa (excluding high income),1996,0
Sub-Saharan Africa (excluding high income),1997,0
Sub-Saharan Africa (excluding high income),1998,0
Sub-Saharan Africa (excluding high income),1999,0
Sub-Saharan Africa (excluding high income),2000,0
Sub-Saharan Africa (excluding high income),2001,0
Sub-Saharan Africa (excluding high income),2002,0
Sub-Saharan Africa (excluding high income),2003,0
Sub-Saharan Africa (excluding high income),2004,0
Sub-Saharan Africa (excluding high income),2005,0
Sub-Saharan Africa (excluding high income),2006,0
Sub-Saharan Africa (excluding high income),2007,0
Sub-Saharan Africa (excluding high income),2008,0
Sub-Saharan Africa (excluding high income),2009,0
Sub-Saharan Africa (excluding high income),2010,0
Sub-Saharan Africa (excluding high income),2011,0
Sub-Saharan Africa (excluding high income),2012,0
Sub-Saharan Africa (excluding high income),2013,0
Sub-Saharan Africa (excluding high income),2014,0
Sub-Saharan Africa (excluding high income),2015,0
Sub-Saharan Africa (excluding high income),2016,0
Sub-Saharan Africa (excluding high income),2017,0
South Sudan,1960,0
South Sudan,1961,0
South Sudan,1962,0
South Sudan,1963,0
South Sudan,1964,0
South Sudan,1965,0
South Sudan,1966,0
South Sudan,1967,0
South Sudan,1968,0
South Sudan,1969,0
South Sudan,1970,0
South Sudan,1971,0
South Sudan,1972,0
South Sudan,1973,0
South Sudan,1974,0
South Sudan,1975,0
South Sudan,1976,0
South Sudan,1977,0
South Sudan,1978,0
South Sudan,1979,0
South Sudan,1980,0
South Sudan,1981,0
South Sudan,1982,0
South Sudan,1983,0
South Sudan,1984,0
South Sudan,1985,0
South Sudan,1986,0
South Sudan,1987,0
South Sudan,1988,0
South Sudan,1989,0
South Sudan,1990,0
South Sudan,1991,0
South Sudan,1992,0
South Sudan,1993,0
South Sudan,1994,0
